着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,1,1,サイモンザナドゥ,56,岩田望来,2:07.5,,6-5-2-2,38.9,5.9,3,[西] 小林真也,澤田昭紀,550.0,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020104497,牡,3,478,-2
2,6,12,セザンワールド,56,国分優作,2:07.5,クビ,8-7-4-3,38.7,3.4,2,[西] 畑端省吾,瀬山孝一,220.0,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020106051,牡,3,488,0
3,8,15,ジャスパーワールド,56,松若風馬,2:08.0,3,12-12-8-4,39.1,41.9,9,[西] 森秀行,加藤和夫,140.0,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020110107,牡,3,512,+1
4,2,3,タイキクラージュ,56,幸英明,2:08.4,2.1/2,12-13-12-8,39.0,2.3,1,[西] 谷潔,大樹ファーム,83.0,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020106820,牡,3,456,-2
5,6,11,ゲットザフェイム,56,和田竜二,2:09.0,3.1/2,11-11-8-5,40.0,25.2,7,[西] 清水久詞,槙和美,55.0,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020101302,牡,3,472,0
6,7,14,シゲルショウタイム,56,城戸義政,2:09.2,1.1/4,14-14-16-11,39.3,275.0,15,[西] 大橋勇樹,森中啓子,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020104054,牡,3,472,-8
7,5,9,マレフィセントラヴ,53,秋山稔樹,2:09.2,ハナ,4-3-5-5,40.3,74.2,11,[西] 四位洋文,栗山学,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020110098,牝,3,530,-14
8,4,8,リオンエトワール,53,田口貫太,2:09.9,4,15-14-14-15,39.8,33.5,8,[西] 橋口慎介,ライオンレースホース,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020102589,牡,3,424,0
9,3,5,タイセイマイティ,56,団野大成,2:10.0,クビ,6-7-1-1,41.6,16.4,6,[西] 西村真幸,田中成奉,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020101553,牡,3,472,0
10,1,2,タガノチェイス,53,西塚洸二,2:10.5,3,9-7-10-10,41.2,164.1,13,[西] 奥村豊,八木良司,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020105541,牡,3,500,-2
11,8,16,ドデカハーツ,55,角田大河,2:11.7,7,15-16-13-13,41.8,269.6,14,[西] 松永昌博,大田恭充,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020109042,牡,3,490,+6
12,3,6,ドルヴァル,56,水口優也,2:11.9,1,5-5-5-8,43.0,52.3,10,[西] 池江泰寿,インゼルレーシング,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020103258,牡,3,496,0
13,5,10,クリノファルコン,52,河原田菜,2:13.0,7,10-10-14-16,42.9,392.5,16,[西] 松永昌博,栗本博晴,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020109014,牡,3,462,0
14,2,4,ドナスウェット,54,坂井瑠星,2:13.7,4,2-2-2-5,45.1,13.8,5,[西] 矢作芳人,小川眞査雄,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020110093,牝,3,476,-4
15,4,7,ダノンジュリアス,56,西村淳也,2:14.0,1.3/4,3-3-10-13,44.4,12.0,4,[西] 藤原英昭,ダノックス,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020103297,牡,3,458,-2
16,7,13,エンシャントヌーン,56,酒井学,2:14.1,クビ,1-1-5-11,45.0,91.6,12,[西] 小林真也,永見貴昭,,3歳未勝利,202309030603,阪神,2000,右,ダート,良,曇,2020103880,牡,3,442,-2
