着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,5,10,ロードマンハイム,56,鮫島克駿,1:34.8,,3-6,33.3,4.8,2,[西] 友道康夫,ロードホースクラブ,550.0,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020100177,牡,3,508,+4
2,6,11,ファルシオン,54,幸英明,1:35.3,3,3-3,34.0,3.9,1,[西] 羽月友彦,ターフ・スポート,220.0,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020105996,牝,3,448,0
3,7,14,デュメイカズマ,56,斎藤新,1:35.4,1/2,12-6,33.9,40.4,10,[西] 安田隆行,雅苑興業,140.0,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020103706,牡,3,474,+10
4,7,15,ロジウムエポック,55,角田大和,1:35.5,3/4,3-2,34.4,11.5,6,[西] 四位洋文,平沼宣秀,83.0,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020104986,牡,3,478,+4
5,8,16,シュハリ,56,国分恭介,1:35.7,3/4,12-10,34.0,21.6,8,[西] 鈴木孝志,岡田牧雄,55.0,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020105031,牡,3,426,+2
6,6,12,ムーンダイヤモンド,51,西塚洸二,1:35.8,3/4,2-3,34.6,12.0,7,[西] 鈴木孝志,ローレルレーシング,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020101480,牝,3,446,-6
7,2,4,ギルデッドフレーム,56,国分優作,1:35.9,1/2,10-10,34.2,73.0,14,[西] 坂口智康,吉田千津,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020102900,牡,3,434,+2
8,4,7,アーリーショベル,56,鮫島良太,1:35.9,クビ,17-10,34.1,65.3,13,[西] 緒方努,門野文典,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020101542,牡,3,454,0
9,1,2,ライツフォル,56,富田暁,1:35.9,アタマ,10-14,33.9,5.7,3,[西] 高橋義忠,サンデーレーシング,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020103398,牡,3,488,-6
10,8,17,サトノドゥーチェ,56,松若風馬,1:35.9,アタマ,1-1,35.0,96.2,15,[西] 音無秀孝,里見治,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020106649,牡,3,426,-4
11,1,1,サツキスマイル,51,田口貫太,1:36.0,1/2,14-17,33.8,10.6,5,[西] 寺島良,小野博郷,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020101963,牝,3,402,0
12,8,18,オーバーザドリーム,56,和田竜二,1:36.0,ハナ,9-6,34.5,50.8,12,[西] 清水久詞,槙和美,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020105734,牡,3,460,+4
13,3,5,タガノトラリア,54,小崎綾也,1:36.1,1/2,14-14,34.1,7.0,4,[西] 斉藤崇史,八木良司,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020105543,牝,3,454,-2
14,3,6,ポルコスピーノ,54,岩田康誠,1:36.2,1/2,7-10,34.5,25.6,9,[西] 梅田智之,子安裕樹ＲＣ,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020101078,牝,3,526,+2
15,5,9,テーオーマルサス,56,菱田裕二,1:36.3,3/4,14-14,34.2,102.0,16,[西] 岡田稲男,小笹公也,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020102342,牡,3,482,+4
16,2,3,ニホンピロベイリー,54,高倉稜,1:36.4,3/4,17-17,34.2,379.4,18,[西] 服部利之,小林英一,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020101041,牝,3,428,+8
17,7,13,ニホンピロアレイ,54,水口優也,1:36.4,ハナ,7-6,34.9,166.3,17,[西] 服部利之,小林英一,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020104565,牝,3,450,0
18,4,8,モンテルナ,54,藤岡佑介,1:36.5,アタマ,6-3,35.2,45.6,11,[西] 藤岡健一,幅田昌伸,,3歳未勝利,202309030202,阪神,1600,右,芝,良,晴,2020110077,牝,3,472,-6
