着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,7,15,スイミーユニバンス,51,永島まな,1:20.6,,1-1,35.9,3.2,1,[西] 平田修,亀井哲也,550.0,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020103632,牝,3,424,-2
2,8,18,エスタビエン,51,今村聖奈,1:21.0,2.1/2,10-10,35.4,5.5,3,[西] 橋口慎介,大冨智弘,220.0,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020101345,牝,3,410,0
3,1,1,メイショウフラム,54,秋山真一,1:21.2,1.1/2,13-12,35.3,46.9,10,[西] 飯田祐史,松本好雄,140.0,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020106203,牝,3,422,-8
4,2,4,ジョーシーゲル,54,川須栄彦,1:21.3,1/2,5-4,36.1,16.0,7,[西] 松下武士,上田江吏子,83.0,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020100523,牝,3,482,-4
5,3,5,エイシンセレナ,51,西塚洸二,1:21.5,3/4,7-6,36.1,13.5,5,[西] 大久保龍,栄進堂,55.0,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020106250,牝,3,474,-6
6,7,14,フェネストラ,50,河原田菜,1:21.6,1/2,5-6,36.2,55.7,12,[西] 清水久詞,杉山忠国,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020100486,牝,3,412,-6
7,6,12,オータムクイーン,54,団野大成,1:21.8,1.1/2,16-16,35.2,7.5,4,[西] 鮫島一歩,ゴドルフィン,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020101798,牝,3,454,-6
8,8,16,ナムララン,54,高倉稜,1:21.8,アタマ,11-10,36.1,17.3,8,[西] 長谷川浩,奈村睦弘,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020106558,牝,3,426,0
9,6,11,セルリアンロケット,56,藤岡康太,1:21.9,クビ,15-14,35.7,53.8,11,[西] 庄野靖志,イクタ,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020101049,牡,3,454,-2
10,3,6,インクルードダイヤ,54,坂井瑠星,1:22.0,1,2-2,37.1,4.4,2,[西] 武英智,シルクレーシング,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020103418,牝,3,452,0
11,8,17,モズミヤビ,54,岩田望来,1:22.3,1.3/4,8-8,36.8,14.6,6,[西] 矢作芳人,キャピタル・システム,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020100023,牝,3,426,-16
12,4,8,クリノサクセス,54,和田翼,1:23.3,6,11-12,37.4,428.6,18,[西] 谷潔,栗本博晴,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020102354,牝,3,452,-6
13,1,2,ルージュエクセル,54,中井裕二,1:23.4,1/2,18-18,35.7,82.6,13,[西] 安田隆行,東京ホースレーシング,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020103131,牝,3,422,0
14,7,13,ティエラサンライズ,54,国分恭介,1:23.5,1/2,2-4,38.3,289.1,16,[西] 茶木太樹,松岡隆雄,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020102334,牝,3,442,-8
15,4,7,ティエラボニータ,55,角田大河,1:23.6,1/2,17-17,36.2,162.1,14,[西] 茶木太樹,ノルマンディーサラブレッドレーシング,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020103906,牡,3,476,-12
16,5,9,ファベルジェエッグ,51,田口貫太,1:23.9,1.3/4,2-2,39.0,20.8,9,[西] 藤岡健一,ヒダカ・ブリーダーズ・ユニオン,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020106663,牝,3,434,-8
17,5,10,コウユーオモイノセ,53,川端海翼,1:23.9,ハナ,14-14,37.7,358.9,17,[西] 斉藤崇史,加治屋貞光,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020109135,セ,3,472,0
18,2,3,タガノグラジオラス,54,城戸義政,1:24.0,3/4,8-8,38.5,163.0,15,[西] 荒川義之,八木良司,,3歳未勝利,202307030204,中京,1400,左,芝,稍重,晴,2020105538,牝,3,470,-4
