着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,16,ケイアイアニラ,56,坂井瑠星,1:25.3,,2-2,37.3,4.1,2,[西] 吉岡辰弥,ケイアイスタリオン,550.0,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020104228,牡,3,520,0
2,1,1,ランドティターン,56,団野大成,1:25.6,1.3/4,7-7,37.1,5.8,3,[西] 安達昭夫,木村昌三,220.0,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020100243,牡,3,488,-2
3,5,10,ハッピーアズラリー,54,岩田望来,1:25.7,クビ,4-3,37.5,12.5,7,[西] 安田翔伍,金子真人ホールディングス,140.0,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020101121,牝,3,428,-8
4,4,8,イストロス,56,幸英明,1:26.0,1.3/4,4-5,37.8,7.4,4,[西] 音無秀孝,サンデーレーシング,83.0,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020103510,セ,3,496,-2
5,8,15,イセベイ,56,西村淳也,1:26.5,3,11-10,37.8,23.0,8,[西] 岡田稲男,ゴドルフィン,55.0,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020101835,牡,3,464,0
6,3,5,ジラルデ,55,角田大河,1:26.6,3/4,10-8,38.1,7.9,5,[西] 飯田祐史,前田幸治,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020105632,牡,3,456,-6
7,7,13,ドウフォルス,56,藤岡康太,1:26.6,クビ,1-1,38.7,3.7,1,[西] 友道康夫,インゼルレーシング,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020103431,牡,3,488,-6
8,5,9,メイショウミチロク,53,田口貫太,1:27.4,5,11-12,38.5,110.7,11,[西] 荒川義之,松本好雄,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020106512,牡,3,484,-9
9,7,14,ライヴリー,54,松山弘平,1:27.6,1.1/4,3-3,39.4,8.0,6,[西] 茶木太樹,吉田千津,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020102765,牝,3,472,+2
10,6,12,テングクラブ,52,河原田菜,1:27.7,クビ,13-14,38.5,80.5,10,[西] 角田晃一,寺田秀樹,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020105926,牡,3,482,-18
11,2,4,ヒズハイネス,56,小崎綾也,1:27.9,1.1/4,14-13,38.6,173.7,15,[西] 斉藤崇史,フクキタル,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020105719,牡,3,438,-12
12,2,3,ハイクライテリア,56,国分優作,1:28.0,3/4,4-5,39.8,141.1,13,[西] 田中克典,ライオンレースホース,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020102910,セ,3,464,-4
13,4,7,メイショウコムスビ,55,泉谷楓真,1:28.2,1.1/4,7-10,39.7,128.4,12,[西] 本田優,松本好雄,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020106921,牡,3,458,-10
14,1,2,ルジマトフ,56,国分恭介,1:28.3,1/2,16-16,38.2,360.1,16,[西] 牧田和弥,永田和彦,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020102272,セ,3,418,-10
15,3,6,クリノチャンプ,55,秋山稔樹,1:29.0,4,14-14,39.8,146.4,14,[西] 高橋義忠,栗本守,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020101380,牡,3,502,0
16,6,11,センスオブピース,51,永島まな,1:29.3,1.3/4,7-8,40.8,61.5,9,[西] 安田翔伍,サンデーレーシング,,3歳未勝利,202309030506,阪神,1400,右,ダート,良,晴,2020102700,牝,3,434,+6
