着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,17,ルクスビッグスター,56,岩田望来,2:03.1,,12-12-7-9,36.4,8.6,5,[西] 清水久詞,ルクス,550.0,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020104297,牡,3,472,+6
2,3,6,バトルハーデン,56,坂井瑠星,2:03.3,1.1/2,4-4-5-4,36.8,2.2,1,[西] 矢作芳人,サンデーレーシング,220.0,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020103664,牡,3,506,-18
3,2,4,メイショウオオミネ,55,角田大河,2:03.4,アタマ,8-8-7-4,36.9,5.8,2,[西] 石橋守,松本好雄,140.0,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020106798,牡,3,432,+2
4,5,10,ダンスベルレーヌ,54,横山典弘,2:04.0,3.1/2,6-6-3-3,37.7,82.5,10,[西] 昆貢,ノルマンディーサラブレッドレーシング,83.0,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020103940,牝,3,432,-6
5,1,1,イーヴイ,56,川須栄彦,2:04.0,クビ,1-1-1-1,38.2,7.9,4,[西] 鮫島一歩,齊藤雅志,55.0,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020100844,牡,3,436,-2
6,3,5,カルンウェナン,56,酒井学,2:04.6,3.1/2,16-15-11-4,38.1,18.7,7,[西] 角田晃一,前田幸治,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020106309,牡,3,496,-6
7,5,9,メイショウシナノ,53,田口貫太,2:04.8,1.1/2,9-10-13-13,37.7,19.1,8,[西] 大橋勇樹,松本好雄,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020106635,牡,3,480,-10
8,2,3,センチュリヒーロー,56,加藤祥太,2:04.9,クビ,16-15-17-15,37.4,130.9,13,[西] 庄野靖志,中水英紀,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020100724,牡,3,408,-2
9,4,7,ダイヤモンドロワ,56,小牧太,2:04.9,ハナ,9-9-13-11,37.9,325.8,16,[西] 笹田和秀,林進,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020106237,牡,3,436,-8
10,7,14,メロパール,53,泉谷楓真,2:05.1,1.1/4,6-7-5-4,38.6,153.1,14,[西] 本田優,村上稔,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020105237,牝,3,428,-4
11,8,15,ハートフルアース,56,幸英明,2:05.2,3/4,13-14-15-13,38.0,7.2,3,[西] 吉岡辰弥,吉澤ホールディングス,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020104655,牡,3,492,+4
12,8,16,シンガーズバラッド,56,和田竜二,2:05.5,1.3/4,14-12-9-9,38.8,86.5,12,[東] 村田一誠,コスモヴューファーム,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020105194,牡,3,450,+4
13,1,2,クリスタルダムール,54,松若風馬,2:06.0,3,2-2-2-2,40.0,13.2,6,[西] 森田直行,Ｇ１レーシング,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020102560,牝,3,444,-4
14,7,13,ファイアーバード,54,荻野極,2:06.8,5,9-10-15-15,39.4,178.7,15,[西] 森田直行,三田昌宏,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020102743,牝,3,444,-6
15,4,8,エスカミーリョ,53,永島まな,2:07.9,7,14-15-9-11,41.0,53.2,9,[西] 音無秀孝,シルクレーシング,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020103776,セ,3,448,-12
16,6,12,メイケイアラジン,54,松山弘平,2:09.6,10,2-2-3-4,43.1,85.7,11,[西] 武英智,名古屋競馬,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020103315,牝,3,466,-6
17,6,11,クラウンオール,50,河原田菜,2:10.6,6,4-4-11-17,42.9,359.3,17,[西] 服部利之,上茶谷一,,3歳未勝利,202307030104,中京,2000,左,芝,重,曇,2020100920,牝,3,412,-5
