着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,15,ファルシオン,54,幸英明,1:35.7,,2-2-2,35.2,3.9,1,[西] 羽月友彦,ターフ・スポート,550.0,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020105996,牝,3,442,-6
2,7,14,ジャンマギアーナ,53,西塚洸二,1:36.0,1.3/4,5-6-6,35.1,122.2,14,[西] 中竹和也,加藤誠,220.0,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020105612,牡,3,484,-6
3,7,13,タイセイフェリーク,54,松若風馬,1:36.1,クビ,10-8-9,34.9,4.1,2,[西] 田中克典,田中成奉,140.0,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020103713,牝,3,422,0
4,6,11,メイショウコムスビ,55,泉谷楓真,1:36.1,クビ,1-1-1,35.8,233.1,16,[西] 本田優,松本好雄,83.0,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020106921,牡,3,456,-2
5,1,1,ストーンヘンジ,56,和田竜二,1:36.2,クビ,3-2-2,35.6,7.2,5,[西] 鈴木孝志,桑畑夏美,55.0,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020104854,牡,3,490,+6
6,4,8,マテンロウプラウド,56,横山典弘,1:36.2,クビ,13-4-6,35.3,6.7,4,[西] 松永幹夫,寺田千代乃,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020102545,セ,3,478,-12
7,6,12,ナムラデュラン,56,国分優作,1:36.4,1,7-6-4,35.7,9.4,6,[西] 大橋勇樹,奈村睦弘,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020100693,セ,3,450,-6
8,2,4,ブリックスダール,56,団野大成,1:36.6,1.1/4,9-10-6,35.6,78.5,11,[西] 清水久詞,キャロットファーム,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020103358,セ,3,402,-22
9,5,10,コントリビューター,56,岩田望来,1:36.7,3/4,11-14-13,35.3,6.1,3,[西] 野中賢二,ゴドルフィン,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020101841,牡,3,466,-2
10,1,2,ドリームラッシュ,50,河原田菜,1:37.2,3,7-14-15,35.6,121.6,13,[西] 荒川義之,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020101774,牝,3,416,+8
11,3,6,タイセイグッドマン,53,田口貫太,1:37.3,1/2,6-10-10,36.0,220.9,15,[西] 浜田多実,田中成奉,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020104462,牡,3,468,0
12,5,9,ニコニコルンルン,54,松山弘平,1:37.6,1.3/4,15-8-10,36.3,42.6,9,[西] 矢作芳人,ＤＭＭドリームクラブ,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020106298,牝,3,412,-8
13,8,16,ジェムラー,56,藤岡康太,1:37.7,1/2,3-4-4,37.0,70.5,10,[西] 藤岡健一,青山洋一,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020102892,牡,3,504,0
14,4,7,ベルオブピース,56,坂井瑠星,1:37.8,3/4,11-12-10,36.5,41.5,8,[西] 矢作芳人,前田晋二,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020103236,牡,3,504,+4
15,2,3,ハマベノユウワク,53,角田大河,1:37.9,1/2,16-16-16,35.9,111.4,12,[西] 畑端省吾,岡浩二,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020106247,牝,3,454,0
16,3,5,ヴァモスタイテー,53,永島まな,1:38.6,4,13-12-13,37.1,11.2,7,[西] 西園正都,久保博文,,3歳未勝利,202307030107,中京,1600,左,芝,重,曇,2020100969,牡,3,504,+10
