着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,4,サスツルギ,55,川田将雅,2:12.2,,7-6-6-4,35.9,1.8,1,[東] 木村哲也,サンデーレーシング,"1,572.4",木曽川特別,202307030209,中京,2200,左,芝,良,晴,2020103439,牡,3,480,-2
2,8,9,シテフローラル,58,松山弘平,2:12.5,2,8-8-8-7,35.8,13.4,4,[東] 堀宣行,金子真人ホールディングス,626.4,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2018105086,牡,5,446,0
3,1,1,エイカイマッケンロ,58,坂井瑠星,2:12.8,1.3/4,1-1-1-1,37.1,4.0,3,[西] 藤原英昭,二木英実,393.2,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2019104800,牡,4,498,+4
4,3,3,リミットバスター,55,高倉稜,2:13.8,6,4-4-6-7,37.2,3.5,2,[西] 杉山晴紀,草間庸文,230.0,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2020101537,牡,3,508,0
5,6,6,ニャンチンノン,58,藤岡康太,2:14.1,1.3/4,5-4-4-4,37.8,55.1,8,[西] 中竹和也,加藤誠,155.0,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2019102799,牡,4,452,-10
6,8,8,ダノンピーカブー,58,岩田望来,2:14.5,2.1/2,6-6-2-2,38.7,36.3,6,[西] 大久保龍,ダノックス,,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2019104769,牡,4,470,+10
7,7,7,タイセイコマンド,58,団野大成,2:14.9,2.1/2,2-2-4-4,38.6,54.5,7,[東] 青木孝文,田中成奉,,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2018104196,牡,5,490,-8
8,2,2,ダディーズトリップ,58,菱田裕二,2:14.9,クビ,2-2-3-3,38.8,25.2,5,[西] 千田輝彦,田島大史,,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2016100126,牡,7,452,+2
9,5,5,オンワードセルフ,58,中井裕二,2:15.6,4,8-8-9-9,38.7,489.4,9,[西] 村山明,樫山章子,,木曽川特別,202307030209,中京,2200,左,芝,良,晴,2016100368,牡,7,488,-10
