着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,3,トモジャケーヤ,53,田口貫太,1:24.3,,2-2,36.8,2.6,1,[西] 大根田裕,吉冨朝美,550.0,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020104650,牡,3,518,-6
2,5,9,エイシンレジューム,56,団野大成,1:25.0,4,4-4,37.2,2.8,2,[西] 中尾秀正,栄進堂,220.0,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020106518,牡,3,502,0
3,2,4,ホウオウマーメイド,54,横山武史,1:25.6,4,1-1,38.2,11.7,5,[西] 安田翔伍,小笹芳央,140.0,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020103894,牝,3,470,+2
4,3,5,レヴィアタン,56,岩田望来,1:25.9,1.3/4,11-10,36.9,8.7,3,[西] 梅田智之,薪浦亨,83.0,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020100619,牡,3,498,+2
5,6,11,ジャスティンユウジ,56,松山弘平,1:26.0,1/2,7-6,37.8,17.0,6,[西] 吉岡辰弥,三木正浩,55.0,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020103555,牡,3,516,0
6,7,13,シゲルオトコギ,52,河原田菜,1:26.0,クビ,9-9,37.2,25.9,7,[西] 渡辺薫彦,森中啓子,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020104916,牡,3,492,+2
7,7,14,リプレゼント,56,西村淳也,1:26.4,2.1/2,4-5,38.6,8.7,4,[西] 中内田充,藤田晋,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020103559,牡,3,490,-10
8,4,7,エイシンテムジン,56,松若風馬,1:26.5,クビ,2-2,38.9,41.9,10,[西] 今野貞一,平井克彦,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020106289,牡,3,480,+8
9,8,16,タイセイサーマル,56,Ｍ．デム,1:26.6,3/4,7-7,38.3,32.8,9,[西] 牧浦充徳,田中成奉,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020100715,牡,3,436,0
10,5,10,タッチーフェイス,56,中井裕二,1:26.7,3/4,13-12,37.4,265.7,13,[西] 今野貞一,ＳＴレーシング,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020101685,牡,3,502,+2
11,1,2,サンライズプライド,56,北村友一,1:27.5,5,6-7,39.3,29.5,8,[西] 安田隆行,ライフハウス,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020103483,牡,3,506,+2
12,4,8,ダンツターセル,55,泉谷楓真,1:27.6,1/2,15-14,38.1,130.1,11,[西] 本田優,山元哲二,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020104920,牡,3,488,-2
13,3,6,シゲルゴキゲン,56,和田翼,1:28.7,7,9-10,40.0,212.0,12,[西] 谷潔,森中啓子,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020105937,牡,3,534,0
14,6,12,オールズフェア,53,西塚洸二,1:28.8,クビ,11-12,39.7,654.9,15,[西] 鈴木孝志,ライオンレースホース,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020105577,牡,3,528,+2
15,8,15,ヴィクトリーアイ,56,加藤祥太,1:29.3,2.1/2,16-16,39.3,625.2,14,[西] 杉山佳明,ヒダカファーム,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020100916,牡,3,462,-6
16,1,1,カネトシストーム,53,川端海翼,1:29.3,ハナ,13-15,39.8,670.9,16,[西] 飯田祐史,兼松昌男,,3歳未勝利,202309030804,阪神,1400,右,ダート,良,曇,2020102245,牡,3,442,+8
