着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,6,6,ジュントネフ,55,岩田望来,1:23.8,,3-3,36.3,2.0,1,[西] 清水久詞,河合純二,550.0,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021105773,牡,2,484,+2
2,1,1,エコロガイア,55,松山弘平,1:24.0,1.1/4,1-1,36.7,8.0,3,[西] 森秀行,原村正紀,220.0,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021110056,牡,2,464,-2
3,5,5,ヤマニンアラクリア,55,田中健,1:24.1,1/2,6-6,36.2,14.2,6,[西] 中村直也,土井薫,140.0,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021100284,牡,2,462,-2
4,7,7,ディーノサンライズ,55,藤岡康太,1:24.1,クビ,5-5,36.3,10.0,5,[西] 高橋康之,坂本守孝,83.0,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021101289,牝,2,428,+4
5,2,2,グルマンディーズ,55,坂井瑠星,1:24.3,3/4,3-3,36.7,9.2,4,[西] 安田翔伍,飯田貴大,55.0,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021104150,牝,2,412,-4
6,4,4,チカッパ,55,和田竜二,1:25.3,6,2-2,37.9,3.6,2,[西] 中竹和也,岡浩二,,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021103868,牡,2,480,-4
7,3,3,オーブラボー,51,河原田菜,1:25.4,3/4,7-7,37.2,60.0,7,[西] 加用正,協栄,,2歳未勝利,202307030101,中京,1400,左,芝,不良,曇,2021101613,牡,2,446,-8
