着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,8,ラリュエル,56,坂井瑠星,1:59.2,,1-1-1-1,36.9,1.7,1,[西] 矢作芳人,社台レースホース,"1,568.9",京橋特別,202309030509,阪神,2000,右,芝,良,晴,2019104700,牝,4,428,+2
2,7,7,デルマグレムリン,58,幸英明,1:59.3,1/2,8-8-8-8,35.4,36.4,7,[西] 緒方努,浅沼廣幸,625.4,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2019105877,牡,4,452,+8
3,6,6,テーオーソロス,58,泉谷楓真,1:59.6,2,3-3-3-2,37.1,14.1,4,[西] 宮徹,小笹公也,392.7,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2018104850,牡,5,464,-6
4,5,5,ピノクル,58,和田竜二,1:59.6,クビ,6-6-7-6,36.6,6.2,3,[西] 音無秀孝,金子真人ホールディングス,230.0,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2016105171,牡,7,490,+4
5,4,4,ダディーズトリップ,58,秋山真一,1:59.8,3/4,4-4-4-5,37.0,41.2,8,[西] 千田輝彦,田島大史,155.0,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2016100126,牡,7,450,-10
6,3,3,ウェイオブライト,58,松山弘平,2:00.1,1.3/4,7-7-5-4,37.3,3.4,2,[西] 高橋康之,岡田牧雄,,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2018103496,セ,5,522,+4
7,2,2,カイザー,58,西村淳也,2:00.5,2.1/2,4-5-6-6,37.5,15.3,5,[西] 森田直行,近藤英子,,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2019105091,牡,4,474,-10
8,1,1,プレシオーソ,58,岩田望来,2:02.5,大,2-2-2-2,40.0,28.6,6,[西] 清水久詞,カナヤマホールディングス,,京橋特別,202309030509,阪神,2000,右,芝,良,晴,2017104092,セ,6,484,0
