着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,4,アヘッド,54,藤岡康太,1:54.7,,10-10-10-8,38.6,10.3,5,[西] 中竹和也,前田葉子,550.0,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110092,牝,3,452,-2
2,3,5,イサイアス,56,団野大成,1:54.9,3/4,6-6-4-5,39.5,5.4,4,[西] 吉村圭司,飯田正剛,220.0,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110073,牡,3,446,-6
3,1,1,ゴールデンマイク,56,松若風馬,1:55.4,3,12-11-11-10,39.0,18.6,7,[西] 森秀行,藤田晋,140.0,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110101,牡,3,490,-4
4,8,16,メンヒ,53,田口貫太,1:55.5,1/2,3-2-2-2,40.3,106.5,11,[西] 河内洋,畑佐博,83.0,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020107079,牡,3,508,-2
5,2,3,マラマ,54,岩田望来,1:55.8,2,1-1-1-1,40.8,19.2,8,[西] 松永幹夫,前田幸大,55.0,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110091,牝,3,450,0
6,6,12,トモダチ,56,川田将雅,1:55.9,1/2,3-5-4-2,40.6,4.6,2,[西] 中内田充,山紫水明,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110150,牡,3,514,0
7,1,2,グリーンオパール,54,菱田裕二,1:56.0,1/2,8-7-6-6,40.4,10.3,6,[西] 小崎憲,田頭勇貴,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020110149,牝,3,472,+2
8,4,7,サウンドレガミ,56,国分恭介,1:56.1,クビ,16-16-14-12,38.5,242.3,13,[西] 安達昭夫,増田雄一,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020102183,牡,3,484,0
9,7,14,ライトライズライト,56,西村淳也,1:56.3,1,11-11-12-12,38.9,31.1,9,[西] 石坂公一,吉澤ホールディングス,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020106592,牡,3,474,0
10,7,13,アオイコウキ,53,今村聖奈,1:56.3,ハナ,3-4-6-7,40.6,5.2,3,[西] 矢作芳人,新谷幸義,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020101866,牡,3,480,-16
11,8,15,メイショウスイケイ,52,河原田菜,1:56.8,3,12-11-12-14,39.1,208.2,12,[西] 荒川義之,松本好雄,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020104417,牡,3,436,0
12,3,6,ノリノリ,53,川端海翼,1:57.4,4,15-14-15-15,39.6,292.6,14,[西] 石橋守,岡浩二,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020109066,牡,3,494,+4
13,6,11,ギャングスター,56,中井裕二,1:57.6,3/4,7-7-6-8,41.9,103.3,10,[西] 今野貞一,川勝裕之,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020102987,牡,3,438,+2
14,4,8,ディオファントス,56,坂井瑠星,1:58.3,4,2-2-2-4,43.1,3.4,1,[西] 斉藤崇史,キャロットファーム,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020103491,牡,3,504,+6
15,5,9,フクシマパープレイ,56,長岡禎仁,1:58.9,3.1/2,9-9-9-10,42.8,389.2,15,[西] 杉山佳明,西本資史,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020105959,セ,3,444,-32
16,5,10,ジャージー,56,国分優作,1:59.7,5,14-14-15-16,41.5,675.8,16,[西] 森田直行,北山敏隆,,3歳未勝利,202309030704,阪神,1800,右,ダート,稍重,曇,2020100913,牡,3,550,+4
