着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,16,オーロラテソーロ,58.5,幸英明,1:10.8,,8-5,35.6,9.3,5,[東] 畠山吉宏,了徳寺健二ホールディングス,"2,236.4",松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2017110074,牡,6,500,+3
2,5,10,スナークダヴィンチ,56,小崎綾也,1:11.0,1.1/4,10-9,35.6,12.1,6,[西] 野中賢二,杉本豊,890.4,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2017106438,牡,6,494,-6
3,7,14,ミスズグランドオー,55,和田竜二,1:11.0,アタマ,2-2,36.2,34.5,11,[東] 伊藤圭三,永井啓弍,555.2,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018103724,牡,5,492,+6
4,8,15,サンライズアムール,56,酒井学,1:11.0,アタマ,5-4,36.0,2.9,1,[西] 小林真也,ライフハウス,330.0,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2019101633,牡,4,518,+6
5,3,6,ボイラーハウス,55,江田照男,1:11.1,3/4,11-9,35.6,51.9,13,[東] 竹内正洋,永田博之,220.0,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018106183,牡,5,498,-2
6,4,8,アーバンイェーガー,55,荻野極,1:11.2,1/2,5-5,36.1,51.3,12,[東] 高橋文雅,村木克成,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2014102562,牡,9,502,-6
7,1,2,マルモリスペシャル,55,泉谷楓真,1:11.3,クビ,5-5,36.3,8.4,3,[西] 大橋勇樹,山下繁美,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2019100252,牡,4,536,-2
8,2,3,フルム,54,水口優也,1:11.3,クビ,16-16,35.2,13.4,7,[西] 浜田多実,京都ホースレーシング,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2019106214,牡,4,476,+4
9,1,1,デュアリスト,59,北村友一,1:11.5,1.1/4,2-5,36.6,16.2,9,[西] 安田隆行,サンデーレーシング,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018105158,牡,5,500,0
10,2,4,メディーヴァル,54,西塚洸二,1:11.6,1/2,9-9,36.4,154.5,16,[西] 寺島良,ターフ・スポート,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018102360,牡,5,464,-10
11,6,11,メイショウチタン,55,古川吉洋,1:11.9,1.3/4,14-12,35.9,75.7,15,[西] 本田優,松本好雄,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2017104172,牡,6,476,-12
12,6,12,チェイスザドリーム,54,富田暁,1:12.0,1/2,1-1,37.3,7.3,2,[西] 矢作芳人,ヒダカ・ブリーダーズ・ユニオン,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2019105968,牝,4,468,+4
13,3,5,クインズメリッサ,54,藤懸貴志,1:12.0,クビ,11-12,36.6,9.1,4,[西] 宮本博,ケイアイスタリオン,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018101984,牝,5,484,+12
14,5,9,アティード,57,菱田裕二,1:12.1,クビ,13-12,36.4,22.2,10,[東] 加藤士津,高瀬正志,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2018103173,牡,5,500,-5
15,4,7,ファイアランス,54,藤岡康太,1:12.4,1.3/4,14-15,36.5,63.3,14,[西] 野中賢二,ゴドルフィン,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2017106572,牡,6,518,+2
16,7,13,ジェネティクス,57,鮫島克駿,1:12.5,3/4,2-2,37.7,14.2,8,[西] 西村真幸,キャロットファーム,,松風月ステークス,202309030211,阪神,1200,右,ダート,良,晴,2017102686,牡,6,514,-8
