着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,7,9,タイセイブリリオ,58,藤岡康太,1:08.7,,1-1,34.9,3.0,2,[西] 大橋勇樹,田中成奉,"1,573.8",知多特別,202307030110,中京,1200,左,芝,重,晴,2019101005,牡,4,478,0
2,5,5,ヤマニンアンフィル,56,団野大成,1:08.7,クビ,5-5,34.4,2.2,1,[西] 斉藤崇史,土井肇,626.8,知多特別,202307030110,中京,1200,左,芝,重,晴,2019100604,牝,4,466,+6
3,2,2,プレジールミノル,58,荻野極,1:08.7,アタマ,3-4,34.6,155.7,11,[西] 北出成人,吉岡實,393.4,知多特別,202307030110,中京,1200,左,芝,重,晴,2018104322,牡,5,492,-4
4,4,4,エコロデイジー,56,菱田裕二,1:08.8,クビ,9-9,34.1,20.2,7,[西] 牧浦充徳,原村正紀,230.0,知多特別,202307030110,中京,1200,左,芝,重,晴,2018109052,牝,5,480,-8
5,8,11,ショウナンマッハ,58,坂井瑠星,1:09.3,3,2-2,35.4,13.2,5,[西] 茶木太樹,国本哲秀,155.0,知多特別,202307030110,中京,1200,左,芝,重,晴,2019104697,牡,4,494,-12
6,1,1,ニシノデフィレ,58,和田竜二,1:09.3,ハナ,5-7,34.9,10.0,4,[西] 宮本博,西山茂行,,知多特別,202307030110,中京,1200,左,芝,重,晴,2019103233,牡,4,494,-2
7,6,7,ダテボレアス,58,幸英明,1:09.3,ハナ,3-2,35.3,20.0,6,[西] 西園正都,渡邉直樹,,知多特別,202307030110,中京,1200,左,芝,重,晴,2019103562,牡,4,482,-8
8,7,8,ヤマニンプティパ,56,酒井学,1:09.6,1.1/2,8-8,35.0,41.6,8,[西] 千田輝彦,土井肇,,知多特別,202307030110,中京,1200,左,芝,重,晴,2017101777,牝,6,432,-6
9,8,10,カーフライターク,58,高倉稜,1:09.6,クビ,10-10,34.8,81.9,9,[西] 田中克典,サンデーレーシング,,知多特別,202307030110,中京,1200,左,芝,重,晴,2017105192,牡,6,480,-14
10,6,6,ベンガン,58,岩田望来,1:09.8,1.1/4,5-5,35.6,6.2,3,[西] 千田輝彦,小林薫,,知多特別,202307030110,中京,1200,左,芝,重,晴,2017101767,牡,6,460,+4
11,3,3,グレナデンシロップ,56,国分恭介,1:10.0,1.1/4,11-11,35.0,142.0,10,[西] 浜田多実,吉田勝己,,知多特別,202307030110,中京,1200,左,芝,重,晴,2019105176,牝,4,446,+1
