着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,1,1,アスクコンナモンダ,57,川田将雅,1:34.1,,11-9-5,34.9,3.0,1,[西] 中内田充,廣崎利洋ＨＤ,"1,867.3",白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019104642,牡,4,452,+4
2,7,11,ペースセッティング,54,団野大成,1:34.2,クビ,1-1-1,35.6,16.4,6,[西] 安田隆行,シルクレーシング,747.8,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2020110007,牡,3,484,0
3,2,2,シュヴェルトライテ,56,和田竜二,1:34.2,ハナ,6-3-3,35.3,35.2,11,[東] 池上昌和,ノルマンディーサラブレッドレーシング,463.9,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019105760,牝,4,436,-6
4,8,13,トランキリテ,56,松山弘平,1:34.5,1.3/4,11-11-11,34.9,15.8,5,[西] 松永幹夫,キャロットファーム,280.0,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019104556,牡,4,472,+12
5,4,5,クルゼイロドスル,55,坂井瑠星,1:34.5,アタマ,8-9-9,35.1,3.8,2,[西] 高橋義忠,ゴドルフィン,184.0,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2020101813,牡,3,474,0
6,8,12,オールイズウェル,56,酒井学,1:34.6,クビ,8-7-9,35.3,80.3,13,[西] 佐々木晶,小林竜太郎,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2016106292,牡,7,498,+4
7,7,10,ボーデン,56,北村宏司,1:34.6,アタマ,13-11-11,35.1,30.7,10,[東] 木村哲也,吉田勝己,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2018105264,牡,5,504,0
8,4,4,アサヒ,57,幸英明,1:34.7,1/2,6-6-5,35.6,9.2,4,[東] 金成貴史,Ｇリビエール・レーシング,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019105482,牡,4,510,-2
9,6,8,ヴィルヘルム,58,荻野極,1:34.7,クビ,2-2-2,36.0,19.3,7,[西] 池江泰寿,キャロットファーム,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2018104982,牡,5,506,-4
10,5,6,ルージュラテール,55,菱田裕二,1:34.7,クビ,10-11-11,35.1,20.6,9,[西] 矢作芳人,東京ホースレーシング,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019105545,牝,4,482,-6
11,3,3,ベルクレスタ,55,藤岡康太,1:35.3,3.1/2,3-3-3,36.3,5.2,3,[西] 須貝尚介,サンデーレーシング,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019105415,牝,4,482,+2
12,5,7,ダンテスヴュー,57,岩田望来,1:35.4,3/4,3-7-5,36.2,19.8,8,[西] 友道康夫,金子真人ホールディングス,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2019106933,牡,4,474,+8
13,6,9,スズカトップバゴ,55,太宰啓介,1:36.9,9,5-3-5,37.8,74.2,12,[西] 吉村圭司,永井啓弍,,白川郷ステークス,202307030111,中京,1600,左,芝,重,曇,2018104403,セ,5,458,-6
