着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,2,ミルテンベルク,55,藤岡康太,1:10.4,,2-2,35.1,1.8,1,[西] 武英智,キャロットファーム,720.0,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021105771,牡,2,460,0
2,5,5,ドナヴィーナス,55,川島信二,1:10.9,3,1-1,35.8,22.1,5,[西] 庄野靖志,山田貢一,290.0,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021100782,牝,2,432,0
3,1,1,デアパーディタ,55,坂井瑠星,1:12.1,7,3-3,36.6,5.4,3,[東] 武井亮,フィールドレーシング,180.0,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021100236,牝,2,416,0
4,3,3,ヤマニンアラクリア,55,田中健,1:12.2,1/2,3-3,36.7,3.9,2,[西] 中村直也,土井薫,110.0,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021100284,牡,2,464,0
5,7,7,カヴァラ,55,松若風馬,1:14.3,大,6-6,37.7,35.8,7,[西] 小栗実,ゴドルフィン,72.0,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021101656,牝,2,438,0
6,6,6,ユイノシビレグスリ,55,長岡禎仁,1:14.4,1/2,7-7,37.1,44.6,8,[東] 深山雅史,由井健太郎,,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021101539,牡,2,436,0
7,8,8,ジャコムスビ,55,団野大成,1:15.3,5,3-5,39.5,16.3,4,[西] 荒川義之,晴間芳次,,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021101753,牡,2,448,0
8,4,4,ラストボーン,55,荻野極,1:16.0,4,8-8,35.6,22.8,6,[西] 加用正,阿部榮乃進,,2歳新馬,202309030405,阪神,1200,右,芝,稍重,曇,2021104639,牡,2,450,0
