着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,4,ショウナンアレクサ,55,岩田望来,1:46.1,,3-3,34.1,6.6,3,[西] 清水久詞,国本哲秀,"1,133.8",城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020103271,牡,3,494,+8
2,7,7,トンジンチ,53,西村淳也,1:46.7,4,1-1,35.1,11.0,6,[西] 藤原英昭,幅田昌伸,446.8,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020104776,牝,3,472,+12
3,8,10,サスケ,55,ルメール,1:46.7,アタマ,6-6,34.6,9.3,5,[西] 西村真幸,安原浩司,283.4,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020106680,牡,3,456,0
4,8,9,シュタールヴィント,55,坂井瑠星,1:46.8,3/4,3-3,34.9,8.5,4,[西] 矢作芳人,社台レースホース,170.0,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020103061,牡,3,436,-4
5,2,2,ビヨンドザヴァレー,53,鮫島克駿,1:46.8,ハナ,7-7,34.5,5.0,2,[西] 橋口慎介,社台レースホース,111.0,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020103099,牝,3,450,-6
6,7,8,ミントマーク,55,横山武史,1:47.0,1,2-2,35.2,15.9,7,[西] 池添学,キャロットファーム,,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020103731,牡,3,468,+8
7,6,6,マキシ,55,川田将雅,1:47.0,ハナ,9-9,34.4,2.0,1,[西] 辻野泰之,大島昌也,,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020103666,牡,3,506,+2
8,5,5,スマラグドス,55,松山弘平,1:47.4,2.1/2,10-10,34.6,35.5,8,[西] 西園正都,グリーンファーム,,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020102798,牡,3,464,+8
9,3,3,サイモンオリーブ,53,加藤祥太,1:49.1,10,3-3,37.1,248.9,10,[西] 梅田智之,澤田昭紀,,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2020102640,牝,3,452,-12
10,1,1,ヒルノロワール,58,藤岡康太,1:50.2,7,8-8,37.7,241.5,9,[西] 北出成人,ヒルノ,,城崎特別,202309030808,阪神,1800,右,芝,良,曇,2019106038,牡,4,502,+16
