着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,4,ポンテニオ,53,泉谷楓真,2:15.0,,1-1-1-1,36.4,18.0,8,[西] 西園正都,コスモヴューファーム,550.0,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020105218,牝,3,488,+6
2,8,17,ペネトレイトゴー,56,団野大成,2:15.2,1,15-16-7-7,35.9,15.1,6,[西] 森秀行,前川俊行,220.0,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020101916,牡,3,452,+2
3,8,16,シャンデルナゴル,56,藤岡康太,2:15.4,1.1/2,3-3-3-3,36.5,3.4,1,[西] 石坂公一,吉田勝己,140.0,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020103193,牡,3,490,+6
4,4,8,カズキ,56,松若風馬,2:15.5,クビ,4-3-3-3,36.5,11.5,5,[西] 梅田智之,大石秀夫,83.0,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020102340,牡,3,434,-6
5,7,15,ホウショウルキナ,54,菱田裕二,2:15.8,1.3/4,4-6-5-5,36.7,15.3,7,[西] 河内洋,芳賀美知子,55.0,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020106730,牝,3,482,-6
6,7,14,イーヴイ,56,川須栄彦,2:15.8,クビ,9-9-7-9,36.4,43.1,10,[西] 鮫島一歩,齊藤雅志,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020100844,牡,3,438,-8
7,2,3,ノエマ,56,和田竜二,2:15.8,アタマ,8-6-5-5,36.7,5.7,3,[西] 平田修,小紫嘉之,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020104921,牡,3,486,0
8,7,13,モズマスターピース,56,国分恭介,2:16.0,1.1/4,12-11-9-7,36.6,27.4,9,[西] 牧田和弥,キャピタル・システム,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020106577,牡,3,480,0
9,3,6,レーヴスレアリーズ,54,岩田望来,2:16.2,1.1/4,2-2-2-2,37.5,8.6,4,[西] 寺島良,ローレルレーシング,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020106011,牝,3,460,0
10,6,12,ウインリュクス,54,国分優作,2:16.4,1.1/4,13-13-11-10,36.7,72.5,11,[西] 大久保龍,ウイン,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020105189,牝,3,440,-4
11,5,10,オフィスバトル,56,中井裕二,2:17.2,5,17-17-13-12,37.1,139.9,12,[西] 高橋亮,飯田良枝,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020104480,牡,3,498,-4
12,4,7,ホペロア,56,坂井瑠星,2:17.3,1/2,13-14-11-10,37.6,3.4,2,[西] 友道康夫,大塚亮一,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020103557,牡,3,510,0
13,8,18,ジュジュジューン,54,荻野極,2:17.5,1.1/4,18-18-18-16,36.7,211.9,13,[西] 今野貞一,吉川潤,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020100704,牝,3,430,-4
14,1,1,ミツルスピード,53,西塚洸二,2:17.7,1.1/4,11-9-15-14,37.4,228.2,14,[西] 本田優,守内ひろ子,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020104742,牡,3,488,+4
15,3,5,ニホンピロシーガー,56,小牧太,2:18.8,7,15-14-17-15,38.3,367.0,17,[西] 服部利之,小林英一,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020104568,牡,3,440,-8
16,5,9,シアワセノアシオト,54,服部寿希,2:18.8,クビ,4-6-9-12,39.0,353.0,16,[西] 平田修,キャピタル・システム,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020102407,牝,3,428,+2
17,6,11,ボールドロイ,56,加藤祥太,2:20.5,10,9-11-15-17,39.8,422.6,18,[西] 羽月友彦,増田陽一,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020105459,牡,3,454,-8
18,1,2,バトーボヌール,53,田口貫太,2:22.7,大,4-3-13-18,41.6,258.0,15,[西] 庄野靖志,吉澤ホールディングス,,3歳未勝利,202309030402,阪神,2200,右,芝,稍重,雨,2020105373,牡,3,516,0
