着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,8,グランデサラス,56,松若風馬,1:20.8,,2-2,34.3,23.8,9,[西] 池添学,名古屋友豊,550.0,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020105089,牡,3,498,+18
2,3,6,プロスペリダード,54,岩田望来,1:20.9,クビ,1-1,34.5,2.8,1,[西] 西園翔太,大樹ファーム,220.0,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020101792,牝,3,446,+2
3,2,3,エスタビエン,54,幸英明,1:21.3,2.1/2,9-7,34.3,21.2,8,[西] 橋口慎介,大冨智弘,140.0,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020101345,牝,3,410,+2
4,8,17,フェリキタス,54,川須栄彦,1:21.4,1,3-2,34.8,151.2,14,[西] 羽月友彦,友駿ホースクラブ,83.0,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020100370,牝,3,432,+6
5,1,1,ファベルジェエッグ,51,田口貫太,1:21.8,2.1/2,4-4,35.1,92.3,13,[西] 藤岡健一,ヒダカ・ブリーダーズ・ユニオン,55.0,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020106663,牝,3,442,-6
6,5,9,スリーブリランテ,56,和田竜二,1:22.0,1.1/4,4-4,35.3,13.5,5,[西] 長谷川浩,永井商事,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020101038,牡,3,484,-4
7,2,4,シントーチャチャ,50,河原田菜,1:22.2,1.1/4,13-12,34.9,48.3,12,[西] 清水久詞,中野辰三,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020104300,牝,3,426,0
8,6,12,ロジウムエポック,56,団野大成,1:22.2,クビ,11-10,35.1,15.5,7,[西] 四位洋文,平沼宣秀,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020104986,牡,3,476,-2
9,8,16,オンリーラヴ,54,菱田裕二,1:22.3,クビ,18-18,34.4,346.2,17,[西] 森田直行,大塚亮一,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020106394,牝,3,412,-2
10,7,14,シゲルノヴァ,54,和田翼,1:22.4,1,13-12,35.1,226.3,16,[西] 谷潔,森中啓子,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020101679,牝,3,446,-6
11,1,2,フクノカトレア,54,秋山真一,1:22.4,クビ,15-16,34.9,9.6,4,[西] 鈴木孝志,佐藤範夫,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020100208,牝,3,420,-6
12,6,11,ワカタツフェイス,54,西村淳也,1:22.6,1.1/4,9-7,35.6,4.1,2,[西] 森田直行,ＳＴレーシング,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020100808,牝,3,450,+2
13,8,18,メリタテス,54,坂井瑠星,1:22.6,アタマ,4-4,35.8,35.8,11,[西] 矢作芳人,広尾レース,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020110076,牝,3,436,0
14,7,15,オータムクイーン,54,藤岡康太,1:22.9,1.3/4,7-7,35.9,7.2,3,[西] 鮫島一歩,ゴドルフィン,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020101798,牝,3,460,+8
15,4,7,ガルミッシュ,55,角田大河,1:23.0,クビ,11-12,35.8,388.1,18,[西] 松永幹夫,前田幸大,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020110066,牡,3,480,+8
16,7,13,ユアデスティニー,54,小崎綾也,1:23.8,5,7-11,36.8,24.6,10,[西] 大久保龍,ゴドルフィン,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020110030,牝,3,482,+6
17,3,5,ヴァルダリス,51,永島まな,1:24.2,2.1/2,15-17,36.6,14.5,6,[西] 杉山佳明,社台レースホース,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020103056,牝,3,430,-16
18,5,10,オーブアンドセプタ,54,国分優作,1:25.6,9,15-12,38.3,179.5,15,[西] 辻野泰之,ヒダカ・ブリーダーズ・ユニオン,,3歳未勝利,202309030602,阪神,1400,右,芝,良,曇,2020104889,牝,3,396,0
