着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,9,ヒヒーン,55,酒井学,1:36.6,,2-2,33.9,24.1,5,[西] 須貝尚介,大和屋暁,720.0,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021105394,牝,2,460,0
2,3,3,ナムラエイハブ,55,和田竜二,1:36.9,1.3/4,3-4,34.0,7.4,4,[西] 長谷川浩,奈村睦弘,290.0,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021102895,牡,2,490,0
3,1,1,ボイラーメーカー,55,岩田望来,1:37.4,3,7-6,34.2,4.0,2,[西] 新谷功一,須藤英之,180.0,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021100335,牡,2,502,0
4,7,8,エートラックス,55,西村淳也,1:37.4,アタマ,6-6,34.2,34.3,6,[西] 宮本博,サンデーレーシング,110.0,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021104876,牡,2,488,0
5,2,2,グルマンディーズ,55,藤岡康太,1:37.6,1.1/4,3-4,34.7,64.2,7,[西] 安田翔伍,飯田貴大,72.0,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021104150,牝,2,416,0
6,6,6,ファミリー,55,幸英明,1:38.5,5,3-3,35.7,65.9,8,[西] 渡辺薫彦,岡浩二,,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021106990,牝,2,418,0
7,7,7,カルミナブラーナ,55,菱田裕二,1:38.7,1.1/4,1-1,36.1,173.6,10,[西] 角田晃一,エンジェルレーシング,,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021106153,牡,2,460,0
8,5,5,エスカルチャ,55,坂井瑠星,1:38.8,1/2,7-6,35.7,66.0,9,[西] 岡田稲男,ゴドルフィン,,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021101673,牡,2,506,0
9,4,4,モアリジット,55,松山弘平,1:39.1,2,10-10,35.1,6.2,3,[西] 西村真幸,社台レースホース,,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021104832,牡,2,486,0
10,8,10,フェンダー,55,川田将雅,1:39.3,1.1/2,9-9,35.9,1.9,1,[西] 斉藤崇史,シルクレーシング,,2歳新馬,202309030305,阪神,1600,右,芝,良,曇,2021105753,牡,2,500,0
