着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,10,ノボリクレバー,52,角田大河,1:53.8,,3-3-3-2,37.7,8.2,4,[西] 石橋守,原田豊,800.0,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2020106393,牝,3,484,+4
2,7,9,スカンジナビア,56,岩田望来,1:54.5,4,2-2-2-2,38.5,7.1,3,[西] 四位洋文,市川義美ホールディングス,320.0,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019102794,牝,4,470,+14
3,8,11,フェルンマンボ,56,鮫島克駿,1:54.6,1/2,5-5-5-4,38.3,3.8,2,[西] 辻野泰之,ヒダカ・ブリーダーズ・ユニオン,200.0,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019105975,牝,4,464,-6
4,1,1,ナウズザタイム,53,北村友一,1:54.8,1.1/4,1-1-1-1,38.9,114.1,9,[西] 安田隆行,村上龍太郎,120.0,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2020103323,牝,3,462,-6
5,6,7,トゥーレツリー,56,幸英明,1:54.9,1/2,10-10-10-8,38.0,88.0,8,[西] 小栗実,社台レースホース,80.0,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019104733,牝,4,456,+10
6,6,6,スナークメモリー,53,国分恭介,1:55.0,1/2,9-9-6-6,38.3,22.8,6,[西] 川村禎彦,杉本豊,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2020105167,牝,3,444,-2
7,4,4,フォンメイリー,56,団野大成,1:55.4,2.1/2,6-6-6-6,38.8,83.7,7,[西] 四位洋文,ノルマンディーサラブレッドレーシング,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019105287,牝,4,464,-6
8,2,2,シブースト,53,西村淳也,1:55.5,1,4-4-4-5,39.2,20.0,5,[西] 高野友和,ロードホースクラブ,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2020100160,牝,3,498,+4
9,7,8,ランスオブウェイブ,56,川須栄彦,1:56.5,6,7-7-8-9,39.6,162.3,10,[西] 奥村豊,五影慶則,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019106605,牝,4,500,+6
10,3,3,ウィングヘヴン,56,松山弘平,1:57.7,7,7-7-8-9,41.0,1.6,1,[西] 茶木太樹,キャロットファーム,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2019105442,牝,4,500,+20
除,5,5,レッツゴーローズ,50,田口貫太,,,,,---,,[西] 大橋勇樹,水谷光太郎,,3歳以上1勝クラス,202309030806,阪神,1800,右,ダート,良,曇,2020106950,牝,3,468,-4
