着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,6,12,ブラーヴ,53,西塚洸二,1:11.8,,2-2,36.6,19.5,7,[西] 加用正,宮川純造,550.0,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020106733,牡,3,480,+4
2,2,3,テイエムルンバ,54,川島信二,1:11.9,3/4,1-1,36.9,82.0,9,[西] 畑端省吾,竹園正繼,220.0,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020100401,牝,3,470,0
3,1,1,コトヴィア,54,酒井学,1:12.0,3/4,15-14,35.6,4.7,4,[西] 松永幹夫,広尾レース,140.0,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020100671,牝,3,446,+2
4,8,16,シュナップス,56,菱田裕二,1:12.6,3.1/2,3-3,37.2,4.6,3,[西] 渡辺薫彦,カナヤマホールディングス,83.0,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020101221,牡,3,512,-4
5,7,13,スターペスカオリ,53,泉谷楓真,1:12.6,ハナ,5-4,37.0,4.5,2,[西] 石橋守,河野和香子,55.0,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020105929,牝,3,448,+2
6,1,2,ノイアーターク,56,藤岡康太,1:12.9,1.3/4,14-14,36.6,8.1,6,[西] 安田隆行,社台レースホース,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020102841,セ,3,450,-2
7,6,11,デュアルモーション,54,和田竜二,1:13.1,1.1/4,5-4,37.5,4.1,1,[西] 松下武士,前原敏行,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020100518,牝,3,434,-2
8,3,6,メイショウフェリオ,54,国分優作,1:13.1,クビ,8-7,37.3,157.9,11,[西] 安達昭夫,松本好雄,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020106803,牝,3,438,+4
9,2,4,クルーエルワーク,54,松若風馬,1:13.2,1/2,3-4,37.8,7.8,5,[西] 安達昭夫,水上行雄,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020107072,牝,3,472,-8
10,4,8,ホッコーアリス,54,中井裕二,1:13.3,1/2,7-9,37.5,136.1,10,[西] 飯田祐史,北幸商事,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020100743,牝,3,438,-14
11,5,9,メイショウコナツ,54,荻野極,1:13.6,1.3/4,8-9,37.6,80.5,8,[西] 本田優,松本好雄,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020106185,牝,3,436,0
12,4,7,サンマルミストラル,53,田口貫太,1:13.8,1.1/4,16-16,36.7,434.2,16,[西] 大根田裕,相馬勇,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020106038,牡,3,456,+8
13,7,14,プレリオン,56,田中健,1:13.9,1/2,8-7,38.0,175.4,13,[西] 田中克典,ダイリン,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020106583,セ,3,442,-6
14,5,10,グリーンオーブ,56,加藤祥太,1:14.0,1/2,12-12,37.8,158.6,12,[西] 杉山佳明,中辻明,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020100902,牡,3,454,-8
15,3,5,トンボイミノル,53,秋山稔樹,1:14.1,1/2,11-11,38.0,387.7,15,[西] 北出成人,吉岡實,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020104770,牝,3,424,-4
16,8,15,スナークメーテル,54,小崎綾也,1:14.4,1.3/4,12-12,38.2,227.4,14,[西] 野中賢二,杉本豊,,3歳未勝利,202309030403,阪神,1200,右,ダート,重,雨,2020105168,牝,3,476,+4
