着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,3,5,イクイノックス,58,ルメール,2:11.2,,16-16-13-9,34.8,1.3,1,[東] 木村哲也,シルクレーシング,"22,369.6",第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019105219,牡,4,492,0
2,3,6,スルーセブンシーズ,56,池添謙一,2:11.2,クビ,17-17-16-12,34.6,55.7,10,[東] 尾関知人,キャロットファーム,"8,905.6",第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2018105269,牝,5,446,-2
3,5,9,ジャスティンパレス,58,鮫島克駿,2:11.4,1,12-13-11-9,35.1,8.5,2,[西] 杉山晴紀,三木正浩,"5,552.8",第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019105346,牡,4,470,-2
4,6,11,ジェラルディーナ,56,武豊,2:11.4,アタマ,14-14-6-3,35.5,13.8,3,[西] 斉藤崇史,サンデーレーシング,"3,300.0",第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2018105081,牝,5,466,+3
5,5,10,ディープボンド,58,和田竜二,2:11.6,1,7-7-8-6,35.5,16.6,5,[西] 大久保龍,前田晋二,"2,200.0",第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2017102170,牡,6,502,-2
6,4,7,プラダリア,58,菱田裕二,2:11.6,クビ,11-10-11-12,35.3,262.5,16,[西] 池添学,名古屋友豊,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019100109,牡,4,466,+2
7,2,4,ボッケリーニ,58,浜中俊,2:11.7,クビ,12-10-13-16,35.1,28.3,6,[西] 池江泰寿,金子真人ホールディングス,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2016104618,牡,7,466,-2
8,4,8,ヴェラアズール,58,松山弘平,2:11.9,1.1/4,14-14-16-16,35.2,42.1,9,[西] 渡辺薫彦,キャロットファーム,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2017105082,牡,6,520,0
9,7,13,ジオグリフ,58,岩田望来,2:11.9,ハナ,7-7-8-6,35.8,83.1,11,[東] 木村哲也,サンデーレーシング,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019105056,牡,4,510,0
10,8,17,ドゥラエレーデ,53,幸英明,2:12.3,2,2-2-2-2,36.5,30.2,7,[西] 池添学,スリーエイチレーシング,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2020103626,牡,3,506,-6
11,6,12,アスクビクターモア,58,横山武史,2:12.3,クビ,4-5-4-3,36.5,14.3,4,[東] 田村康仁,廣崎利洋ＨＤ,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019104706,牡,4,480,-2
12,7,14,ブレークアップ,58,川田将雅,2:12.3,クビ,3-3-3-3,36.5,113.4,12,[西] 吉岡辰弥,阿部東亜子,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2018106273,牡,5,494,-2
13,2,3,ダノンザキッド,58,北村友一,2:12.6,1.1/2,4-5-6-9,36.5,35.1,8,[西] 安田隆行,ダノックス,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2018104963,牡,5,532,-2
14,8,16,モズベッロ,58,角田大河,2:12.6,アタマ,10-10-13-12,36.2,480.4,17,[西] 森田直行,キャピタル・システム,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2016100915,牡,7,500,+4
15,8,15,ユニコーンライオン,58,坂井瑠星,2:12.6,ハナ,1-1-1-1,36.9,176.0,14,[西] 矢作芳人,ライオンレースホース,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2016110103,牡,7,520,0
16,1,2,カラテ,58,菅原明良,2:12.6,ハナ,4-3-4-6,36.5,180.2,15,[西] 辻野泰之,小田切光,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2016106606,牡,7,538,0
17,1,1,ライラック,56,Ｍ．デム,2:12.7,1/2,7-7-8-12,36.4,158.9,13,[東] 相沢郁,芹澤精一,,第64回宝塚記念(G1),202309030811,阪神,2200,右,芝,良,曇,2019103588,牝,4,430,-8
