着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,3,ハレアカラフラ,54,松若風馬,1:34.9,,1-1,35.7,11.7,5,[西] 音無秀孝,金子真人ホールディングス,550.0,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020103292,牝,3,468,+6
2,6,11,プロヴァーブ,54,和田竜二,1:35.5,3.1/2,8-8,35.8,104.7,11,[西] 佐々木晶,ノースヒルズ,220.0,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020105634,牝,3,426,+4
3,2,4,ダンツクリスタル,51,西塚洸二,1:35.8,1.3/4,5-3,36.3,136.4,13,[西] 本田優,山元哲二,140.0,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020106337,牝,3,436,+4
4,8,17,デアデルマーレ,54,団野大成,1:35.8,クビ,7-7,36.2,4.7,3,[西] 坂口智康,ロードホースクラブ,83.0,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020100138,牝,3,482,-4
5,4,8,ホウオウロザリー,54,岩田望来,1:35.8,クビ,12-10,35.9,19.7,7,[西] 須貝尚介,小笹芳央,55.0,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020103797,牝,3,466,-4
6,7,15,アイサマン,54,藤岡康太,1:36.0,1.1/4,12-13,35.8,13.5,6,[西] 藤岡健一,伊藤弘人,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020103320,牝,3,420,-6
7,8,16,テンクウハット,54,太宰啓介,1:36.3,1.3/4,3-3,36.8,5.7,4,[西] 渡辺薫彦,小島將之,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020102081,牝,3,464,-10
8,1,2,リーチエミネンス,54,菱田裕二,1:36.4,1/2,5-3,36.9,217.4,14,[西] 杉山晴紀,キャロットファーム,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020103691,牝,3,428,-8
9,1,1,ケークウォーク,53,泉谷楓真,1:36.4,クビ,8-8,36.7,70.0,9,[西] 本田優,フジワラ・ファーム,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020104763,牝,3,498,-18
10,7,13,セピアス,54,川田将雅,1:36.6,1.1/4,8-10,36.6,3.4,1,[西] 中内田充,社台レースホース,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020102666,牝,3,492,-6
11,5,10,マリブコーク,54,酒井学,1:36.9,2,3-3,37.5,28.5,8,[西] 小林真也,雅苑興業,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020106302,牝,3,430,+6
12,3,5,ヘウレシス,54,中井裕二,1:37.8,5,17-17,36.9,360.9,16,[西] 辻野泰之,江馬由将,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020106630,牝,3,426,-6
13,8,18,スマートマリナ,54,荻野極,1:37.9,3/4,12-15,37.6,98.4,10,[西] 笹田和秀,大川徹,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020100682,牝,3,456,0
14,3,6,ヴォーノハート,54,秋山真一,1:38.5,3.1/2,2-2,39.2,123.2,12,[西] 杉山佳明,平口信行,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020100971,牝,3,450,+12
15,7,14,エコロミューズ,54,小崎綾也,1:38.7,1.1/4,16-13,38.5,569.7,17,[西] 牧浦充徳,原村正紀,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020104728,牝,3,484,-2
16,6,12,レガーリデルソーレ,51,田口貫太,1:39.8,7,12-15,39.5,575.6,18,[西] 松下武士,ライオンレースホース,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020100396,牝,3,422,-8
17,4,7,ブロンディール,54,田中健,1:41.0,7,17-18,39.6,290.5,15,[西] 田中克典,ヒダカ・ブリーダーズ・ユニオン,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020104670,牝,3,474,+4
18,5,9,ルカン,54,坂井瑠星,1:41.6,3.1/2,8-10,41.7,3.7,2,[西] 安田翔伍,小林昌子,,3歳未勝利,202309030406,阪神,1600,右,芝,稍重,曇,2020102563,牝,3,418,+4
