着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,7,14,ピエナパイロ,50,河原田菜,1:59.8,,2-2-1-1,38.8,4.0,2,[西] 渡辺薫彦,本谷兼三,550.0,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101335,牝,3,470,-2
2,3,6,ビッグボスマサムネ,56,藤岡康太,2:00.3,3,5-3-3-2,39.1,9.8,5,[西] 杉山佳明,塩澤正樹,220.0,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020106033,牡,3,484,-3
3,7,13,サンライズプラーナ,56,国分恭介,2:01.2,5,8-8-7-6,39.3,8.1,4,[西] 牧浦充徳,ライフハウス,140.0,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101534,牡,3,534,+4
4,2,3,パープルクラウド,56,和田竜二,2:01.2,クビ,6-6-4-3,39.7,3.2,1,[西] 吉村圭司,堂守貴志,83.0,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020104553,牡,3,512,0
5,8,16,フミヤングフェイス,55,角田大河,2:01.4,1,6-7-7-7,39.6,34.9,10,[西] 新谷功一,ＳＴレーシング,55.0,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101960,牡,3,494,-8
6,5,9,アスターブジエ,53,田口貫太,2:01.7,1.1/2,15-15-12-12,38.9,5.2,3,[西] 中竹和也,加藤久枝,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020103111,牡,3,450,-4
7,5,10,エーティータキオン,56,富田暁,2:01.8,3/4,13-13-11-10,39.3,43.6,11,[西] 木原一良,杉浦敏夫,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101677,牡,3,418,+2
8,6,12,シゲルショウタイム,56,城戸義政,2:02.1,1.3/4,16-16-13-13,39.1,180.2,14,[西] 大橋勇樹,森中啓子,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020104054,牡,3,470,-2
9,1,2,エイカイビクター,56,国分優作,2:02.6,3,10-11-10-8,40.4,59.0,12,[西] 坂口智康,二木英実,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101022,セ,3,440,-18
10,4,7,メイショウランザン,56,太宰啓介,2:02.8,1.1/4,14-14-16-14,39.2,140.2,13,[西] 松永幹夫,松本好雄,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020106905,牡,3,454,0
11,2,4,スナークドリアン,56,松山弘平,2:03.4,3.1/2,3-3-4-3,41.9,11.0,6,[西] 川村禎彦,杉本豊,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020100455,牡,3,502,-8
12,3,5,ゲットザフェイム,56,坂井瑠星,2:03.5,クビ,10-9-9-10,41.5,29.2,8,[西] 清水久詞,槙和美,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101302,牡,3,474,+2
13,6,11,シュピラール,56,酒井学,2:04.6,7,8-9-14-15,41.3,32.3,9,[西] 辻野泰之,ノルマンディーサラブレッドレーシング,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020101461,牡,3,496,-2
14,4,8,ドデカハーツ,53,川端海翼,2:04.6,ハナ,10-12-14-15,41.2,512.8,16,[西] 松永昌博,大田恭充,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020109042,牡,3,496,+6
15,8,15,シゲルビクトリウム,56,菱田裕二,2:05.9,8,3-3-6-8,44.2,376.2,15,[西] 森田直行,森中啓子,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020107179,牡,3,496,0
16,1,1,カムカムカモン,53,西塚洸二,2:06.8,5,1-1-2-3,45.7,25.4,7,[西] 藤原英昭,吉澤ホールディングス,,3歳未勝利,202307030202,中京,1900,左,ダート,重,晴,2020106073,牡,3,484,-2
