着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,6,11,マンドローネ,56,川田将雅,1:21.2,,5-4,34.9,5.2,2,[東] 尾関知人,シルクレーシング,800.0,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019105451,牝,4,444,-10
2,4,8,アイオブザストーム,53,団野大成,1:21.4,1.1/4,10-12,34.6,13.2,7,[西] 岡田稲男,ゴールドアップ・カンパニー,320.0,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2020104160,牝,3,466,+10
3,5,9,ヘクトパスカル,56,幸英明,1:21.5,3/4,3-3,35.3,31.7,9,[西] 橋口慎介,西村健,200.0,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019106048,牝,4,458,+6
4,3,5,ツッチーフェイス,56,和田竜二,1:21.6,3/4,8-8,35.0,10.5,6,[西] 今野貞一,ＳＴレーシング,120.0,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019100249,牝,4,468,-4
5,7,13,メイショウソウゲツ,55,角田大河,1:21.6,アタマ,6-4,35.3,55.0,11,[西] 本田優,松本好雄,80.0,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019106565,牝,4,464,-6
6,3,6,ペイシャフラワー,50,永島まな,1:21.6,ハナ,16-16,34.6,10.0,4,[西] 高橋康之,北所直人,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2020104572,牝,3,458,+6
7,4,7,モラトリアム,56,岩田望来,1:21.6,ハナ,8-7,35.1,14.7,8,[西] 河内洋,安藤晋平,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2018103125,牝,5,452,+6
8,6,12,プロティオスミノル,56,高倉稜,1:21.7,アタマ,1-1,35.7,77.0,12,[西] 北出成人,吉岡實,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019106598,牝,4,438,+2
9,8,16,ダノンティアラ,56,松若風馬,1:21.8,3/4,14-12,35.0,90.8,13,[東] 大竹正博,ダノックス,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019105214,牝,4,452,0
10,1,1,レッドヒルシューズ,50,今村聖奈,1:21.9,3/4,3-4,35.6,10.1,5,[西] 武英智,呉本昌時,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2020101897,牝,3,446,-2
11,7,14,テンノメッセージ,53,坂井瑠星,1:22.0,クビ,10-8,35.4,3.1,1,[西] 高柳大輔,天白泰司,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2020103471,牝,3,464,+2
12,8,15,シャウビンダー,56,酒井学,1:22.0,ハナ,10-8,35.4,186.6,14,[西] 須貝尚介,金子真人ホールディングス,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019102068,牝,4,418,+6
13,2,4,ランスオブサウンド,53,西村淳也,1:22.0,クビ,2-2,35.9,5.2,3,[西] 奥村豊,五影慶則,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2020104739,牝,3,426,0
14,1,2,メイショウヒゾッコ,56,太宰啓介,1:22.1,1/2,14-15,35.2,34.2,10,[西] 石橋守,松本好雄,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2018106200,牝,5,428,+2
15,2,3,ジェットグリッター,53,田口貫太,1:22.1,クビ,6-8,35.6,515.1,16,[東] 勢司和浩,成富直行,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2019104764,牝,4,430,-4
16,5,10,パレドジュスティス,53,西塚洸二,1:22.2,1/2,10-12,35.5,278.3,15,[西] 西村真幸,社台レースホース,,3歳以上1勝クラス,202309030507,阪神,1400,右,芝,良,晴,2018104828,牝,5,468,+6
