着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,7,サンガネーブ,56,北村友一,1:12.6,,1-1,37.5,16.8,7,[西] 田中克典,水上ふじ子,550.0,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020104287,牡,3,496,0
2,6,11,テイエムサンローズ,54,田中健,1:12.9,1.3/4,2-4,37.5,165.5,13,[西] 飯田雄三,竹園正繼,220.0,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020100974,牝,3,454,0
3,3,5,レヴィアタン,56,岩田康誠,1:12.9,クビ,12-12,36.2,4.0,1,[西] 梅田智之,薪浦亨,140.0,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020100619,牡,3,496,+2
4,7,13,ビナカントー,53,松本大輝,1:13.1,1.1/4,5-5,37.5,209.7,16,[西] 服部利之,井之口二三雄,83.0,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020105084,牝,3,474,+14
5,5,9,メイショウオーザ,56,幸英明,1:13.2,クビ,2-2,38.0,4.5,2,[西] 石橋守,松本好隆,55.0,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020106208,牡,3,454,-6
6,3,6,ルクスメテオール,56,古川吉洋,1:13.4,1.1/4,5-6,37.8,4.7,3,[西] 小林真也,ルクス,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020102186,牡,3,480,-2
7,1,2,メイショウエース,56,太宰啓介,1:13.5,1/2,15-15,36.5,68.6,11,[西] 西園正都,松本好隆,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020106902,牡,3,494,-8
8,6,12,ヤマニンリジッド,53,川端海翼,1:13.6,1/2,12-12,36.8,198.0,14,[西] 石橋守,土井肇,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020105591,牡,3,472,-4
9,1,1,ゴーマックス,56,鮫島克駿,1:13.6,アタマ,8-8,37.5,6.0,4,[西] 武幸四郎,大野照旺,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020103299,牡,3,496,0
10,8,16,キスウマイ,56,藤懸貴志,1:13.7,3/4,8-9,37.6,17.6,8,[西] 松永幹夫,山下良子,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020109126,牡,3,488,0
11,2,3,バレルロール,56,酒井学,1:13.8,1/2,10-9,37.6,7.2,5,[西] 昆貢,ノルマンディーサラブレッドレーシング,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020106945,セ,3,534,+6
12,7,14,パーペチュアル,56,藤岡康太,1:14.0,1.1/2,7-6,38.2,62.5,10,[西] 宮本博,ノースヒルズ,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020105731,牡,3,484,-4
13,4,8,ゼンノグリッター,54,国分恭介,1:14.3,1.1/2,11-11,37.8,13.4,6,[西] 茶木太樹,大迫久美子,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020105925,牝,3,422,+4
14,5,10,ホウオウレンジャー,55,秋山稔樹,1:14.4,3/4,12-15,37.6,204.8,15,[西] 宮徹,小笹芳央,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020101686,牡,3,448,-10
15,8,15,チョウウマクイク,51,鷲頭虎太,1:14.6,1.1/2,2-2,39.4,58.7,9,[西] 羽月友彦,丸山隆雄,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020100802,牝,3,426,+10
16,2,4,ブレイクネック,56,吉田隼人,1:15.4,5,15-12,38.5,79.0,12,[西] 茶木太樹,水谷昌晃,,3歳未勝利,202309030206,阪神,1200,右,ダート,稍重,晴,2020103976,牡,3,518,0
