着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,2,4,ワンダーエッジ,56,鮫島克駿,2:06.5,,1-1-1-1,39.4,2.9,1,[西] 石坂公一,山本能成,550.0,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020100231,牡,3,560,-4
2,1,1,パープルクラウド,56,和田竜二,2:06.7,1.1/2,4-4-4-4,39.1,4.3,2,[西] 吉村圭司,堂守貴志,220.0,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020104553,牡,3,512,-12
3,3,5,セザンワールド,56,鮫島良太,2:06.8,3/4,7-7-6-6,38.8,4.4,3,[西] 畑端省吾,瀬山孝一,140.0,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020106051,牡,3,488,-4
4,4,8,ナムラマイケル,56,斎藤新,2:07.3,3,8-8-2-2,39.9,6.3,4,[西] 村山明,奈村睦弘,83.0,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020106145,牡,3,430,-8
5,5,10,ヒミノイチシロ,56,国分恭介,2:07.5,1.1/2,15-16-11-7,38.5,44.4,9,[西] 川村禎彦,佐々木八郎,55.0,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020101116,牡,3,502,+8
6,6,11,タイセイマイティ,56,幸英明,2:07.6,クビ,2-2-2-2,40.4,18.5,7,[西] 西村真幸,田中成奉,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020101553,牡,3,472,-4
7,3,6,リオンエトワール,56,古川吉洋,2:08.1,3,13-13-14-12,38.6,17.7,6,[西] 橋口慎介,ライオンレースホース,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020102589,牡,3,424,-8
8,7,13,バージャンフォース,56,国分優作,2:08.1,クビ,10-9-9-7,39.4,74.3,10,[西] 矢作芳人,ライオンレースホース,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020102794,牡,3,528,+2
9,1,2,メンヒ,53,田口貫太,2:08.1,ハナ,5-5-4-5,40.3,13.3,5,[西] 河内洋,畑佐博,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020107079,牡,3,510,-4
10,2,3,タンバッフェ,54,岩田康誠,2:08.2,1/2,12-12-14-12,38.5,111.9,12,[西] 飯田雄三,荻野憲夫,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020100065,牝,3,466,-2
11,6,12,タガノチェイス,56,城戸義政,2:08.2,ハナ,16-13-10-9,39.1,75.5,11,[西] 奥村豊,八木良司,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020105541,牡,3,502,-10
12,7,14,モストロネーロ,56,小牧太,2:11.1,大,11-11-12-14,41.6,325.7,16,[西] 笹田和秀,伊藤永二郎,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020106334,牡,3,468,-2
13,8,16,ソルトエース,56,田中健,2:13.0,大,13-13-16-16,41.6,113.3,13,[西] 武英智,杉浦敏夫,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020102122,牡,3,444,-4
14,8,15,スズカクリエイター,56,富田暁,2:13.1,クビ,2-2-6-9,44.6,185.5,15,[西] 高橋義忠,永井啓弍,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020106655,セ,3,464,-4
15,5,9,フェローチェ,56,小崎綾也,2:13.4,2,5-6-8-11,44.6,37.8,8,[西] 寺島良,ラ・メール,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020106675,牡,3,502,-2
16,4,7,ミラクルストーリー,56,亀田温心,2:14.4,6,9-9-12-15,44.7,133.0,14,[西] 北出成人,協栄,,3歳未勝利,202309030203,阪神,2000,右,ダート,稍重,晴,2020101771,牡,3,482,-4
