着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,8,15,タマモネモフィラ,51,田口貫太,1:55.2,,5-6-4-4,38.7,9.1,4,[西] 大橋勇樹,タマモ,550.0,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020103991,牝,3,452,0
2,8,14,ワンダフルグレイス,54,浜中俊,1:55.7,3,2-2-2-2,39.7,7.6,3,[西] 長谷川浩,米田稔,220.0,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020106430,牝,3,472,0
3,3,5,ヤマニンブルトンヌ,54,酒井学,1:55.8,クビ,7-6-6-5,39.1,2.0,1,[西] 木原一良,土井肇,140.0,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020105600,牝,3,480,0
4,4,7,ジアッシズ,54,坂井瑠星,1:56.3,3,3-3-3-3,40.1,9.1,5,[西] 牧田和弥,社台レースホース,83.0,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020102766,牝,3,474,+4
5,3,4,アルフェニン,54,鮫島克駿,1:56.3,クビ,10-9-8-7,39.2,17.1,6,[西] 長谷川浩,ノースヒルズ,55.0,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020100302,牝,3,470,+2
6,6,11,ワイドバレンシア,54,幸英明,1:56.3,アタマ,15-15-15-14,38.2,121.6,9,[西] 辻野泰之,幅田京子,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020100354,牝,3,460,-6
7,4,6,ステラノーツ,54,岩田望来,1:56.5,1.1/4,1-1-1-1,40.6,3.6,2,[西] 奥村豊,林正道,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020106876,牝,3,536,+20
8,2,3,ツァウバークライス,53,角田大河,1:57.4,5,5-5-4-6,40.9,33.1,7,[西] 高橋亮,吉田照哉,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020103041,牝,3,446,+2
9,5,9,カワカミエレガンス,54,藤懸貴志,1:57.4,ハナ,11-11-12-12,39.8,184.6,12,[西] 本田優,三石川上牧場,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020100448,牝,3,420,+8
10,6,10,クリノトンイ,51,西塚洸二,1:57.5,クビ,8-8-8-8,40.3,454.3,15,[西] 渡辺薫彦,栗本博晴,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020102153,牝,3,450,+6
11,7,12,メイショウチェリー,53,泉谷楓真,1:57.6,3/4,14-14-13-13,39.8,365.0,14,[西] 本田優,松本好隆,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020106184,牝,3,424,0
12,1,1,デルマシタテナゲ,54,松若風馬,1:57.8,3/4,11-11-11-11,40.3,158.2,10,[西] 森田直行,浅沼廣幸,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020102694,牝,3,444,0
13,5,8,ルシール,50,河原田菜,1:58.4,3.1/2,13-13-14-15,40.2,352.9,13,[西] 渡辺薫彦,カナヤマホールディングス,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020100327,牝,3,512,0
14,7,13,キャッチザロマンス,54,菅原明良,1:58.5,1,8-9-8-8,41.4,70.9,8,[東] 小西一男,福田光博,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020102835,牝,3,402,-6
15,2,2,ヤマニンエカ,54,高倉稜,1:58.9,2,3-3-6-8,41.9,177.1,11,[西] 田中克典,土井肇,,3歳未勝利,202309030801,阪神,1800,右,ダート,良,曇,2020105597,牝,3,490,-4
