着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,4,ビッグリボン,55,西村淳也,1:58.5,,9-9-7-4,36.2,3.7,1,[西] 中内田充,石川達絵,"3,846.9",第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2018100427,牝,5,500,0
2,6,8,ウインマイティー,56,和田竜二,1:58.6,3/4,8-8-12-9,36.1,5.0,3,[西] 西園正都,ウイン,"1,513.4",第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2017101415,牝,6,490,+8
3,4,5,ホウオウエミーズ,54,団野大成,1:58.9,1.1/2,13-13-10-11,36.4,23.8,10,[東] 池上昌和,小笹芳央,956.7,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2017104691,牝,6,446,-6
4,8,13,ゴールドエクリプス,51,西塚洸二,1:59.1,1.1/4,11-9-13-9,36.6,11.1,5,[西] 大久保龍,居城寿与,570.0,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019100824,牝,4,488,-2
5,1,1,シンシアウィッシュ,51,角田大河,1:59.1,アタマ,6-6-4-4,36.9,9.1,4,[西] 吉村圭司,前田幸大,380.0,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019100637,牝,4,452,0
6,7,11,ビジン,53,酒井学,1:59.3,1.1/4,4-4-4-1,37.2,16.0,8,[西] 武英智,菅藤孝雄,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019106410,牝,4,468,+2
7,6,9,ストーリア,54,坂井瑠星,1:59.8,3,9-9-7-4,37.5,4.5,2,[西] 杉山晴紀,ロードホースクラブ,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019104124,牝,4,492,+2
8,5,7,ランスオブアース,51,泉谷楓真,2:00.4,4,12-12-10-11,37.9,34.4,11,[西] 本田優,五影隆則,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2018104345,牝,5,492,-2
9,8,12,サンカルパ,51,菱田裕二,2:01.1,4,6-6-7-4,38.8,13.2,7,[東] 田中博康,シルクレーシング,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019105329,牝,4,490,+2
10,5,6,タガノフィナーレ,50,田中健,2:01.3,1.1/4,4-4-4-11,39.0,90.4,13,[西] 中村直也,八木良司,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019100547,牝,4,510,+8
11,3,3,ヒヅルジョウ,50,松若風馬,2:01.7,2.1/2,2-2-1-2,39.7,11.8,6,[西] 岡田稲男,河内孝夫,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019100464,牝,4,486,-6
12,7,10,ハギノメーテル,50,今村聖奈,2:02.5,5,2-2-3-2,40.4,74.5,12,[西] 寺島良,日隈良江,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2019100653,牝,4,480,+16
13,2,2,シャーレイポピー,53,藤岡康太,2:03.2,4,1-1-2-4,41.1,21.0,9,[西] 石坂公一,キャロットファーム,,第28回マーメイドステークス(G3),202309030611,阪神,2000,右,芝,良,曇,2018104977,牝,5,452,+14
