着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,6,6,ラムジェット,55,北村宏司,1:25.4,,9-9,35.8,14.4,6,[西] 佐々木晶,ノースヒルズ,720.0,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021106640,牡,2,488,0
2,1,1,ノイヤーヘルト,55,岩田望来,1:25.6,1.1/2,1-1,38.1,10.3,5,[西] 中竹和也,社台レースホース,290.0,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021105055,牡,2,498,0
3,4,4,リジル,55,藤岡康太,1:25.7,クビ,6-4,37.6,17.8,8,[西] 奥村豊,下河辺隆行,180.0,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021101457,牝,2,466,0
4,8,9,エルフストラック,55,坂井瑠星,1:26.2,3,4-4,38.4,3.4,1,[西] 中村直也,サンデーレーシング,110.0,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021105616,牝,2,464,0
5,5,5,コパノマイアミ,54,秋山稔樹,1:26.7,3,2-2,39.0,6.5,4,[西] 宮徹,小林祥晃,72.0,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021106191,牝,2,464,0
6,2,2,アンモシエラ,54,角田大河,1:27.0,1.3/4,4-4,39.2,5.1,2,[西] 松永幹夫,広尾レース,,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021100682,牝,2,500,0
7,7,7,ソルトロック,55,酒井学,1:27.5,3,6-7,39.5,18.3,9,[西] 四位洋文,杉浦敏夫,,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021101766,牝,2,450,0
8,3,3,エクステンシヴリー,52,今村聖奈,1:28.2,4,6-8,40.1,56.9,10,[西] 小栗実,ライオンレースホース,,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021100715,牡,2,502,0
9,7,8,メネラオス,55,松山弘平,1:28.5,1.1/2,2-2,40.8,5.2,3,[西] 奥村豊,永山芳大,,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021105840,牡,2,540,0
10,8,10,スマートビアンカ,55,和田竜二,1:28.8,2,9-10,39.1,16.3,7,[西] 小崎憲,大川徹,,2歳新馬,202307030106,中京,1400,左,ダート,不良,曇,2021101544,牝,2,440,0
