着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,4,チークタイム,55,和田竜二,1:10.8,,2-2,35.2,10.3,4,[西] 鈴木孝志,岡浩二,720.0,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021103859,牝,2,448,0
2,6,6,プエルタセクレタ,55,岩田望来,1:11.0,1.1/4,3-3,35.3,5.4,3,[西] 野中賢二,サンデーレーシング,290.0,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021105500,牝,2,420,0
3,3,3,ダズリングレイ,55,幸英明,1:11.0,ハナ,1-1,35.6,42.2,7,[西] 加用正,宮川純造,180.0,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021103656,牝,2,476,0
4,8,8,ピースラピッド,55,城戸義政,1:11.1,アタマ,8-7,34.6,50.1,8,[西] 羽月友彦,中平和宏,110.0,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021100967,牡,2,468,0
5,8,9,ポッドロイ,55,西村淳也,1:11.4,2,6-5,35.5,4.4,2,[西] 小林真也,小川眞査雄,72.0,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021100207,牡,2,484,0
6,2,2,マクッテソフィア,55,国分恭介,1:11.5,3/4,3-3,35.8,84.3,9,[西] 川村禎彦,東豊物産,,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021101604,牝,2,412,0
7,5,5,モンシュマン,55,松山弘平,1:11.8,1.1/2,5-5,36.0,2.0,1,[西] 上村洋行,社台レースホース,,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021105054,牡,2,456,0
8,1,1,ナムラエデン,52,西塚洸二,1:12.4,3.1/2,9-9,35.4,27.8,6,[西] 小栗実,奈村睦弘,,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021101102,牝,2,412,0
9,7,7,パシュミナ,55,坂井瑠星,1:13.0,4,6-8,36.7,10.3,5,[西] 中竹和也,ノースヒルズ,,2歳新馬,202309030705,阪神,1200,右,芝,良,曇,2021100291,牝,2,424,0
