着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,7,7,クリノハレルヤ,55,川田将雅,1:10.5,,1-1,34.5,2.0,1,[西] 武英智,栗本博晴,720.0,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021105068,牝,2,456,0
2,4,4,アスクワンタイム,55,岩田望来,1:11.1,3.1/2,5-5,34.5,2.9,2,[西] 梅田智之,廣崎利洋,290.0,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021102315,牡,2,438,0
3,3,3,プロミシングスター,55,国分恭介,1:11.3,1.1/4,3-3,34.8,36.9,7,[西] 加用正,宮川純造,180.0,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021103073,牡,2,434,0
4,2,2,エクストラバック,55,幸英明,1:11.5,1.1/4,2-2,35.2,4.9,3,[西] 西園正都,Ｈ．Ｈ．シェイク・ハムダン,110.0,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021110023,牡,2,482,0
5,6,6,ルクスパラディ,55,藤岡康太,1:11.6,1/2,3-3,35.2,26.3,6,[東] 上原佑紀,ルクス,72.0,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021102054,牝,2,402,0
6,1,1,フェブソラーレ,55,和田竜二,1:12.4,5,6-6,35.6,25.9,5,[西] 川村禎彦,釘田義広,,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021106179,牝,2,434,0
7,5,5,レッドコート,55,松山弘平,1:13.0,4,6-7,36.0,15.7,4,[西] 中村直也,一村哲也,,2歳新馬,202307030105,中京,1200,左,芝,重,曇,2021102678,牡,2,468,0
