着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,4,8,オーロイプラータ,55,団野大成,2:05.0,,16-16-15-13,37.4,3.7,2,[西] 宮本博,吉田勝己,"1,585.7",鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2020103308,牡,3,532,0
2,6,12,アンクラウデッド,58,西村淳也,2:06.1,7,14-13-12-9,38.7,70.4,10,[東] 古賀慎明,社台レースホース,630.2,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2018104503,牡,5,490,-8
3,1,1,シャンバラ,58,岩田望来,2:06.6,2.1/2,7-7-8-6,40.1,6.9,4,[西] 橋口慎介,ノースヒルズ,395.1,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019100615,牡,4,520,+2
4,2,4,レイメイ,58,秋山真一,2:06.6,クビ,8-8-6-6,40.4,245.0,15,[東] 的場均,岡浩二,230.0,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019106104,牡,4,480,-6
5,8,15,キングダムウイナー,58,高倉稜,2:06.8,3/4,15-15-15-11,39.2,183.4,13,[西] 田中克典,ライオンレースホース,155.0,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2017105224,牡,6,506,+2
6,8,16,ウインヴェルデ,58,松山弘平,2:07.0,1.1/2,6-6-3-3,41.1,12.9,6,[西] 加用正,ウイン,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019100206,牡,4,488,-2
7,2,3,グリューヴルム,58,和田竜二,2:07.1,1/2,3-3-3-3,41.1,8.1,5,[西] 大久保龍,キャロットファーム,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019105519,牡,4,500,+10
8,7,13,メイショウマントル,58,国分優作,2:07.2,クビ,10-10-8-8,40.7,45.3,9,[西] 安達昭夫,松本和子,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2018100858,牡,5,512,-8
9,3,6,テーオーサンドニ,58,坂井瑠星,2:07.2,クビ,1-1-1-1,42.0,2.9,1,[西] 高柳大輔,小笹公也,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019104079,牡,4,470,+4
10,5,10,ルーパステソーロ,58,菱田裕二,2:07.7,3,2-2-2-2,42.0,156.0,12,[東] 加藤士津,了徳寺健二ホールディングス,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2018100995,牡,5,544,0
11,5,9,ダノンハイファイブ,58,松若風馬,2:08.7,6,12-12-12-12,41.2,224.9,14,[西] 坂口智康,ダノックス,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2018104111,牡,5,494,+14
12,3,5,モネータドーロ,58,荻野極,2:09.0,1.1/2,10-10-10-10,41.9,97.9,11,[東] 宗像義忠,Ｇ１レーシング,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019105421,牡,4,476,-6
13,6,11,シュガーコルト,58,幸英明,2:09.0,クビ,13-13-14-16,41.4,20.6,7,[西] 寺島良,飯田正剛,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019106364,セ,4,490,-4
14,4,7,キタノセレナード,58,川田将雅,2:09.1,クビ,5-5-3-3,43.3,6.5,3,[西] 坂口智康,北所直人,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019100932,牡,4,440,-2
15,7,14,ハイラブハンター,58,和田翼,2:11.9,大,8-8-10-14,44.5,398.4,16,[西] 谷潔,服部新平,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2018103195,牡,5,486,-6
16,1,2,パトリオットラン,58,角田大河,2:12.8,5,3-3-6-14,45.9,28.9,8,[西] 渡辺薫彦,岡村善行,,鷹取特別,202309030709,阪神,2000,右,ダート,稍重,曇,2019107004,牡,4,538,-2
