着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,7,10,オーサムリザルト,53,川田将雅,1:51.2,,3-4-3-3,36.4,1.4,1,[西] 池江泰寿,インゼルレーシング,800.0,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020110009,牝,3,500,+10
2,5,6,ダンテバローズ,55,松若風馬,1:51.7,3,2-2-2-2,37.0,18.6,6,[西] 上村洋行,猪熊広次,320.0,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020104661,牡,3,504,0
3,8,13,インヒズアイズ,53,坂井瑠星,1:52.5,5,1-1-1-1,38.0,14.9,5,[西] 矢作芳人,江馬由将,200.0,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020110147,牝,3,462,+2
4,2,2,タガノアレハンドラ,53,国分恭介,1:53.0,3,7-5-6-5,38.0,66.4,8,[西] 西園翔太,八木良司,120.0,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020105552,牝,3,484,-4
5,7,11,シゲルオトヒメ,56,和田翼,1:53.3,1.3/4,10-10-10-10,37.7,293.0,13,[西] 谷潔,森中啓子,80.0,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2019102986,牝,4,418,-2
6,6,8,ベファーナ,53,西村淳也,1:53.5,1.1/2,13-13-10-9,38.0,116.7,9,[西] 松下武士,グリーンファーム,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020102757,牝,3,486,0
7,8,12,スパークルアイズ,56,秋山真一,1:53.6,3/4,5-5-6-5,38.5,5.3,2,[西] 武幸四郎,ノースヒルズ,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2019100622,牝,4,490,0
8,4,4,サクセスドレーク,58,藤岡康太,1:53.9,1.3/4,8-8-8-8,38.6,8.2,3,[西] 野中賢二,タカシマ,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2019101190,牡,4,518,+28
9,3,3,ジョータルマエ,52,田口貫太,1:54.1,1,5-5-5-5,39.1,192.9,10,[西] 中竹和也,上田江吏子,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020100771,牡,3,492,0
10,6,9,スズノハマヤ,55,菱田裕二,1:54.2,3/4,12-12-13-12,38.3,32.5,7,[西] 石坂公一,小紫嘉之,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020102880,牡,3,466,-8
11,4,5,イツモハラペコ,55,幸英明,1:54.6,2,3-3-3-3,39.8,13.5,4,[西] 畑端省吾,小田切光,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2020107203,牡,3,468,0
12,1,1,ビービーモノローグ,58,和田竜二,1:55.7,7,8-8-8-10,40.3,210.0,11,[西] 加用正,坂東牧場,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2018100598,セ,5,444,-6
13,5,7,レヴィーアクイーン,56,酒井学,1:56.6,5,10-10-10-13,40.8,252.3,12,[西] 笹田和秀,奥田貴敏,,3歳以上1勝クラス,202309030312,阪神,1800,右,ダート,稍重,曇,2018104796,牝,5,470,-10
