着順,枠番,馬番,馬名,斤量,騎手,タイム,着差,通過,上り,単勝,人気,調教師,馬主,賞金(万円),race_name,raceID,cource,distance,around,groung,groung_state,weather,houceID,sex,age,hource_weight,weight_diff
1,5,10,スマートアイ,50,田口貫太,1:24.1,,2-2,36.8,2.7,1,[西] 寺島良,大川徹,800.0,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020106877,牝,3,504,+4
2,6,12,ルクスレガート,53,鷲頭虎太,1:24.3,3/4,3-2,36.9,93.6,12,[西] 松永昌博,ルクス,320.0,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019106153,牝,4,446,+6
3,2,4,ルショコラ,56,吉田隼人,1:24.6,2,3-4,37.1,9.4,4,[西] 吉田直弘,サラブレッドクラブ・ラフィアン,200.0,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019100786,牝,4,470,+4
4,2,3,シャープソーン,53,幸英明,1:24.7,クビ,13-12,36.0,10.9,5,[西] 西園正都,ゴドルフィン,120.0,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020101853,牝,3,440,+4
5,8,15,ゴットゴーゴー,56,高倉稜,1:25.0,2,11-10,36.7,20.8,8,[西] 木原一良,後藤進,80.0,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2018105530,牝,5,470,+6
6,7,14,ロンシャンクイーン,53,団野大成,1:25.1,1/2,6-4,37.4,3.7,2,[西] 野中賢二,寺田寿男,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020103274,牝,3,428,+8
7,4,8,エスグラシア,55,角田大和,1:25.2,3/4,7-7,37.3,29.1,9,[西] 吉村圭司,ノルマンディーサラブレッドレーシング,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019105830,牝,4,444,-6
8,5,9,トラーパニ,56,富田暁,1:25.3,3/4,3-4,37.6,139.9,14,[西] 上村洋行,吉田和美,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019101053,牝,4,464,0
9,3,6,ヤエベニシダレ,53,加藤祥太,1:25.5,3/4,13-12,37.0,439.1,16,[西] 梅田智之,ヒダカ・ブリーダーズ・ユニオン,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020101077,牝,3,438,-16
10,4,7,フライングバレル,56,斎藤新,1:25.6,1/2,1-1,38.4,47.9,10,[西] 安田隆行,ロードホースクラブ,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2018102586,牝,5,458,-2
11,8,16,スナークメモリー,53,松若風馬,1:25.6,クビ,7-8,37.6,8.6,3,[西] 川村禎彦,杉本豊,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020105167,牝,3,446,+16
12,3,5,ローツェ,53,水口優也,1:25.7,1/2,9-8,37.7,67.1,11,[西] 中尾秀正,グリーンスウォード,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2020100460,牝,3,448,0
13,6,11,ランスオブウェイブ,56,川須栄彦,1:25.8,クビ,15-15,36.8,170.5,15,[西] 奥村豊,五影慶則,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019106605,牝,4,494,+18
14,1,1,アファン,56,和田竜二,1:25.9,1/2,12-12,37.4,14.6,7,[西] 平田修,雅苑興業,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019101015,牝,4,486,-16
15,1,2,シェンフォン,55,松本大輝,1:26.1,1.1/2,15-15,37.2,107.6,13,[西] 今野貞一,グリーンファーム,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019104867,牝,4,440,-4
16,7,13,エトワールジェンヌ,56,鮫島克駿,1:26.3,1.1/2,9-10,38.1,12.0,6,[西] 清水久詞,福盛訓之,,3歳以上1勝クラス,202309030207,阪神,1400,右,ダート,稍重,晴,2019104346,牝,4,512,+2
